Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
BDCQ.SF1CC1CA,2018.09,10633.605,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2018.12,13806.468,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2019.03,13704.407,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2019.06,13035.873,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2019.09,11170.665,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2019.12,15202.125,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2020.03,14614.474,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2020.06,13680.374,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2020.09,11412.16,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC1CA,2020.12,14511.515,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Food, Beverage and Tobacco Product Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2016.06,586.399,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2016.09,577.941,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2016.12,571.523,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
